#  wl(um)    flux(Jy)  eflux(Jy) 
   7.24346   0.000667   0.000046 
   7.27370   0.000581   0.000047 
   7.30394   0.000480   0.000048 
   7.33419   0.000535   0.000052 
   7.36443   0.000606   0.000050 
   7.39467   0.000499   0.000045 
   7.42491   0.000573   0.000044 
   7.45515   0.000537   0.000048 
   7.48540   0.000724   0.000048 
   7.51564   0.000768   0.000035 
   7.57612   0.000845   0.000032 
   7.63660   0.000644   0.000030 
   7.69709   0.000460   0.000029 
   7.75757   0.000560   0.000025 
   7.81805   0.000609   0.000028 
   7.87854   0.000554   0.000028 
   7.93902   0.000557   0.000028 
   7.99951   0.000594   0.000029 
   8.05999   0.000644   0.000023 
   8.12047   0.000659   0.000025 
   8.18096   0.000710   0.000025 
   8.24144   0.000845   0.000022 
   8.30192   0.001064   0.000021 
   8.36241   0.000998   0.000022 
   8.42289   0.001143   0.000023 
   8.48337   0.001199   0.000022 
   8.54386   0.001328   0.000024 
   8.60434   0.001424   0.000019 
   8.66483   0.001565   0.000022 
   8.72531   0.001790   0.000022 
   8.78579   0.001736   0.000020 
   8.84628   0.001827   0.000021 
   8.90676   0.001691   0.000022 
   8.96724   0.001648   0.000020 
   9.02773   0.001912   0.000023 
   9.08821   0.001834   0.000024 
   9.14869   0.001780   0.000022 
   9.20918   0.002032   0.000022 
   9.26966   0.001998   0.000025 
   9.33015   0.001992   0.000025 
   9.39063   0.002058   0.000024 
   9.45111   0.002176   0.000025 
   9.51160   0.002132   0.000025 
   9.57208   0.002238   0.000025 
   9.63256   0.002266   0.000024 
   9.69305   0.002155   0.000025 
   9.75353   0.002326   0.000030 
   9.81401   0.002349   0.000032 
   9.87450   0.002256   0.000025 
   9.93498   0.002489   0.000029 
   9.99547   0.002532   0.000029 
  10.05595   0.002446   0.000029 
  10.11643   0.002666   0.000027 
  10.17692   0.002528   0.000028 
  10.23740   0.002204   0.000027 
  10.29788   0.001683   0.000027 
  10.35837   0.001221   0.000030 
  10.41885   0.001037   0.000029 
  10.47933   0.001204   0.000029 
  10.53982   0.001371   0.000030 
  10.60030   0.001479   0.000029 
  10.66079   0.001393   0.000029 
  10.72127   0.001074   0.000032 
  10.78175   0.001136   0.000030 
  10.84224   0.001499   0.000033 
  10.90272   0.001681   0.000035 
  10.96320   0.001578   0.000034 
  11.02369   0.001771   0.000037 
  11.08417   0.002053   0.000038 
  11.14465   0.002215   0.000040 
  11.20514   0.002031   0.000037 
  11.26562   0.001989   0.000041 
  11.32611   0.002105   0.000040 
  11.38659   0.002186   0.000040 
  11.44707   0.002074   0.000044 
  11.50756   0.001879   0.000045 
  11.56804   0.001913   0.000044 
  11.62852   0.001837   0.000041 
  11.68901   0.001733   0.000042 
  11.74949   0.001680   0.000044 
  11.80997   0.001919   0.000045 
  11.87046   0.001821   0.000041 
  11.93094   0.001851   0.000042 
  11.99143   0.001613   0.000044 
  12.05191   0.001738   0.000040 
  12.11239   0.001770   0.000039 
  12.17288   0.001901   0.000039 
  12.23336   0.001805   0.000039 
  12.29384   0.001615   0.000038 
  12.35433   0.001516   0.000039 
  12.41481   0.001558   0.000041 
  12.47529   0.001611   0.000040 
  12.53578   0.001482   0.000041 
  12.59626   0.001510   0.000041 
  12.65675   0.001478   0.000045 
  12.71723   0.001616   0.000042 
  12.77771   0.001684   0.000041 
  12.83820   0.001588   0.000042 
  12.89868   0.001489   0.000041 
  12.95916   0.001690   0.000042 
  13.01965   0.001618   0.000044 
  13.08013   0.001597   0.000045 
  13.14061   0.001544   0.000047 
  13.20110   0.001621   0.000048 
  13.26158   0.001475   0.000048 
  13.32206   0.001293   0.000050 
  13.38255   0.001273   0.000050 
  13.44303   0.001228   0.000050 
  13.50352   0.001492   0.000054 
  13.56400   0.001405   0.000050 
  13.62448   0.001426   0.000052 
  13.68497   0.001232   0.000054 
  13.74545   0.001410   0.000056 
  13.80593   0.001451   0.000054 
  13.86642   0.001408   0.000057 
  13.92690   0.001531   0.000059 
  13.98738   0.001433   0.000060 
  14.04787   0.001331   0.000056 
  14.10835   0.001441   0.000055 
  14.16884   0.001182   0.000057 
