Source,Spectrum,regime,telescope,instrument,mode,observation_date,wavelength_units,flux_units,wavelength_order,spectrum comments ,spectrum reference,discovery reference,Other spectrum refs, 
WISEA J041022.75+150247.9,https://bdnyc.s3.amazonaws.com/WFC3/W0410%2B15.csv,em.IR.NIR,HST ,WFC3,G141 grism,Sep-01-2012,micron,erg cm-2 s-1 A-1,,,Manj19,,"Cush11.12544, Schn15.",
WISEA J053516.87-750024.6,https://bdnyc.s3.amazonaws.com/WFC3/W0535-75.csv,em.IR.NIR,HST ,WFC3,G141 grism,Sep-27-2011,micron,erg cm-2 s-1 A-1,,Multiple observation dates.,Manj19,,"Kirk10.12330, Cush11.12544, Schn15.",
WISEA J064723.24-623235.4,https://bdnyc.s3.amazonaws.com/WFC3/W0647-62.csv,em.IR.NIR,HST ,WFC3,G141 grism,May-13-2013,micron,erg cm-2 s-1 A-1,,Multiple observation dates.,Manj19,,"Cush12.12970, Schn15",
WISEA J073444.03-715743.8,https://bdnyc.s3.amazonaws.com/WFC3/W0734-71.csv,em.IR.NIR,HST ,WFC3,G141 grism,May-20-2013,micron,erg cm-2 s-1 A-1,,,Manj19,,"Cush12.12970, Schn15",
WISEA J082507.37+280548.2,https://bdnyc.s3.amazonaws.com/WFC3/W0825%2B28.csv,em.IR.NIR,HST ,WFC3,G141 grism,Jan-17-2014,micron,erg cm-2 s-1 A-1,,,Manj19,,"Cush12.12970, Schn15",
WISEA J094306.00+360723.3,https://bdnyc.s3.amazonaws.com/WFC3/W0943%2B36.csv,em.IR.NIR,HST ,WFC3,G141 grism,Feb-20-2013,micron,erg cm-2 s-1 A-1,,,Manj19,,"Cush11.12544, Schn15.",
WISEA J120604.25+840110.5,https://bdnyc.s3.amazonaws.com/WFC3/W1206%2B84.csv,em.IR.NIR,HST ,WFC3,G141 grism,Jul-15-2013,micron,erg cm-2 s-1 A-1,,,Manj19,,"Kirk12.13178, Schn15",
WISEA J140518.32+553421.3,https://bdnyc.s3.amazonaws.com/WFC3/W1405%2B55.csv,em.IR.NIR,HST ,WFC3,G141 grism,Mar-14-2011,micron,erg cm-2 s-1 A-1,,,Manj19,,"Kirk10.12330, Cush12.12970, Schn15",
WISEA J154214.00+223005.2,https://bdnyc.s3.amazonaws.com/WFC3/W1542%2B22.csv,em.IR.NIR,HST ,WFC3,G141 grism,Mar-04-2012,micron,erg cm-2 s-1 A-1,,,Manj19,,"Kirk10.12330, Schn15.",
WISEA J163940.84-684739.4,https://bdnyc.s3.amazonaws.com/WFC3/W1639-68.csv,em.IR.NIR,HST ,WFC3,G141 grism,Oct-29-2013,micron,erg cm-2 s-1 A-1,,,Manj19,,"Cush12.12970, Schn15",
WISEA J173835.52+273258.8,https://bdnyc.s3.amazonaws.com/WFC3/W1738%2B27.csv,em.IR.NIR,HST ,WFC3,G141 grism,May-12-2011,micron,erg cm-2 s-1 A-1,,,Manj19,,"Kirk10.12330, Schn15.",
WISEA J205628.88+145953.6,https://bdnyc.s3.amazonaws.com/WFC3/W2056%2B14.csv,em.IR.NIR,HST ,WFC3,G141 grism,Sep-04-2011,micron,erg cm-2 s-1 A-1,,,Manj19,,"Kirk10.12330, Schn15.",
WISEA J220905.75+271143.6,https://bdnyc.s3.amazonaws.com/WFC3/W2209%2B27.csv,em.IR.NIR,HST ,WFC3,G141 grism,Sep-15-2012,micron,erg cm-2 s-1 A-1,,,Manj19,,"Cush11.12544, Schn15.",
WISEA J221216.27-693121.6,https://bdnyc.s3.amazonaws.com/WFC3/W2212-69.csv,em.IR.NIR,HST ,WFC3,G141 grism,Sep-11-2013,micron,erg cm-2 s-1 A-1,,,Manj19,,"Cush12.12970, Schn15",
WISEA J222055.34-362817.5,https://bdnyc.s3.amazonaws.com/WFC3/W2220-36.csv,em.IR.NIR,HST ,WFC3,G141 grism,Jun-20-2013,micron,erg cm-2 s-1 A-1,,,Manj19,,"Cush12.12970, Schn15",
WISEA J235402.79+024014.1,https://bdnyc.s3.amazonaws.com/WFC3/W2354%2B02.csv,em.IR.NIR,HST ,WFC3,G141 grism,Sep-22-2013,micron,erg cm-2 s-1 A-1,,,Manj19,,"Kirk12.13178, Schn15",
