Source,Spectrum,regime,telescope,instrument,mode,observation_date,wavelength_units,flux_units,wavelength_order,spectrum comments,spectrum reference,discovery reference,start time,stop time,exposure time
2MASS J00001354+2554180,https://bdnyc.s3.amazonaws.com/IRS/0000%2B2554_IRS_spectrum.dat,mir,Spitzer,IRS,SL,2005-12-18,um,Jy,NULL,"SL2,SL1, There are multiple observation dates",Suár22,,12/18/2005 0:00:00,1/25/2006 0:00:00,20640
2MASS J00043484-4044058,https://bdnyc.s3.amazonaws.com/IRS/0004-4044_IRS_spectrum.dat,mir,Spitzer,IRS,SL,2009-01-15,um,Jy,,"SL2,SL1",Suár22,,1/15/2009 0:00:00,1/15/2009 0:00:00,300
DY Psc,https://bdnyc.s3.amazonaws.com/IRS/0024-0158_IRS_spectrum.dat,mir,Spitzer,IRS,SL,2004-01-04,um,Jy,,"SL2,SL1,LL2",Suár22,,1/4/2004 0:00:00,1/4/2004 0:00:00,2520
2MASS J00250365+4759191,https://bdnyc.s3.amazonaws.com/IRS/0025%2B4759_IRS_spectrum.dat,mir,Spitzer,IRS,SL,2009-03-07,um,Jy,,"SL2,SL1",Suár22,,3/7/2009 0:00:00,3/7/2009 0:00:00,2760
CFBDS J003402-005205,https://bdnyc.s3.amazonaws.com/IRS/0034-0052_IRS_spectrum.dat,mir,Spitzer,IRS,SL,2008-01-15,um,Jy,,SL1,Suár22,,1/15/2008 0:00:00,1/15/2008 0:00:00,30720
2MASS J00345157+0523050,https://bdnyc.s3.amazonaws.com/IRS/0034%2B0523_IRS_spectrum.dat,mir,Spitzer,IRS,SL,2006-01-19,um,Jy,,"SL2,SL1",Suár22,,1/19/2006 0:00:00,1/19/2006 0:00:00,14400
2MASS J00361617+1821104,https://bdnyc.s3.amazonaws.com/IRS/0036%2B1821_IRS_spectrum.dat,mir,Spitzer,IRS,SL,2004-01-06,um,Jy,,"SL2,SL1,LL2,LL1",Suár22,,1/6/2004 0:00:00,1/6/2004 0:00:00,2400
CFBDS J005910.90-011401.3,https://bdnyc.s3.amazonaws.com/IRS/0059-0114_IRS_spectrum.dat,mir,Spitzer,IRS,SL,2009-01-13,um,Jy,,SL1,Suár22,,1/13/2009 0:00:00,1/13/2009 0:00:00,14280
SIMP J013656.5+093347.3,https://bdnyc.s3.amazonaws.com/IRS/0136%2B0933_IRS_spectrum.dat,mir,Spitzer,IRS,SL,2008-09-01,um,Jy,,"SL2,SL1",Suár22,,9/1/2008 0:00:00,9/1/2008 0:00:00,720
2MASS J01390120−1757026,https://bdnyc.s3.amazonaws.com/IRS/0139-1757_IRS_spectrum.dat,mir,Spitzer,IRS,SL,2005-07-10,um,Jy,,"SL2,SL1,LL2,LL1",Suár22,,7/10/2005 0:00:00,7/10/2005 0:00:00,96
